"region_code","metric","year","value"
"WA","nutrients.trend",2007,0.958978795428658
"CA1","pathogens",2006,0.8727808902197
"CA1","pathogens",2007,0.962133435803117
"CA1","pathogens",2008,0.943214102159274
"CA1","pathogens",2009,0.98233867155643
"CA1","pathogens",2010,0.954288326381349
"CA2","pathogens",2006,0.8727808902197
"CA2","pathogens",2007,0.927553588747835
"CA2","pathogens",2008,0.902287756587
"CA2","pathogens",2009,0.90018155340736
"CA2","pathogens",2010,0.911732798093948
"CA3","pathogens",2006,0.8727808902197
"CA3","pathogens",2007,0.830930125836292
"CA3","pathogens",2008,0.828842129084996
"CA3","pathogens",2009,0.765268268930198
"CA3","pathogens",2010,0.849738668694611
"OR","pathogens",2006,0.978378378513514
"OR","pathogens",2007,0.887018165540541
"OR","pathogens",2008,0.946320847920998
"OR","pathogens",2009,0.950768612691651
"OR","pathogens",2010,0.9236962
"WA","pathogens",2006,0.884794866809254
"WA","pathogens",2007,0.906913617969224
"WA","pathogens",2008,0.911731457934342
"WA","pathogens",2009,0.957604663487016
"WA","pathogens",2010,0.891241843138236
"CA1","trash",2007,0.955598265209169
"CA1","trash",2008,0.928496611991877
"CA1","trash",2009,0.930640494532534
"CA1","trash",2010,0.945385493216903
"CA1","trash",2011,0.912223565444834
"CA2","trash",2007,0.955598265209169
"CA2","trash",2008,0.928496611991877
"CA2","trash",2009,0.930640494532534
"CA2","trash",2010,0.945385493216903
"CA2","trash",2011,0.912223565444834
"CA3","trash",2007,0.955598265209169
"CA3","trash",2008,0.928496611991877
"CA3","trash",2009,0.930640494532534
"CA3","trash",2010,0.945385493216903
"CA3","trash",2011,0.912223565444834
"OR","trash",2007,0.29713856450181
"OR","trash",2008,0.998261611426579
"OR","trash",2009,0.816321791982517
"OR","trash",2010,0
"OR","trash",2011,0.98357230376702
"WA","trash",2007,0.982664820560875
"WA","trash",2008,0.984787953288261
"WA","trash",2009,0.96969859397855
"WA","trash",2010,0.964615186288336
"WA","trash",2011,0.96549798241629
